Fecha;Unidades;TRM;TRMdesfas
01/01/2012;0;$ 1.942,70 ;$ 1.889,66 
02/01/2012;188;$ 1.942,70 ;$ 1.905,38 
03/01/2012;482;$ 1.942,70 ;$ 1.915,72 
04/01/2012;927;$ 1.915,02 ;$ 1.915,72 
05/01/2012;1159;$ 1.898,24 ;$ 1.915,72 
06/01/2012;996;$ 1.884,44 ;$ 1.915,72 
07/01/2012;243;$ 1.884,47 ;$ 1.908,71 
08/01/2012;0;$ 1.884,47 ;$ 1.917,69 
09/01/2012;0;$ 1.884,47 ;$ 1.913,65 
10/01/2012;697;$ 1.884,47 ;$ 1.913,65 
11/01/2012;956;$ 1.865,07 ;$ 1.913,65 
12/01/2012;1001;$ 1.854,17 ;$ 1.913,65 
13/01/2012;1170;$ 1.842,47 ;$ 1.913,65 
14/01/2012;372;$ 1.841,31 ;$ 1.915,41 
15/01/2012;1;$ 1.841,31 ;$ 1.912,20 
16/01/2012;805;$ 1.841,31 ;$ 1.910,83 
17/01/2012;913;$ 1.841,31 ;$ 1.917,45 
18/01/2012;1049;$ 1.836,34 ;$ 1.917,45 
19/01/2012;979;$ 1.827,24 ;$ 1.917,45 
20/01/2012;1018;$ 1.821,86 ;$ 1.928,47 
21/01/2012;312;$ 1.828,75 ;$ 1.925,39 
22/01/2012;0;$ 1.828,75 ;$ 1.932,63 
23/01/2012;802;$ 1.828,75 ;$ 1.932,63 
24/01/2012;893;$ 1.811,55 ;$ 1.948,48 
25/01/2012;1030;$ 1.814,58 ;$ 1.948,48 
26/01/2012;1108;$ 1.814,69 ;$ 1.948,48 
27/01/2012;1049;$ 1.801,88 ;$ 1.946,28 
28/01/2012;369;$ 1.810,55 ;$ 1.967,18 
29/01/2012;2;$ 1.810,55 ;$ 1.948,51 
30/01/2012;823;$ 1.810,55 ;$ 1.949,56 
31/01/2012;1046;$ 1.815,08 ;$ 1.938,83 
01/02/2012;1142;$ 1.805,98 ;$ 1.938,83 
02/02/2012;1185;$ 1.797,68 ;$ 1.938,83 
03/02/2012;1295;$ 1.795,55 ;$ 1.936,29 
04/02/2012;344;$ 1.784,77 ;$ 1.936,11 
05/02/2012;0;$ 1.784,77 ;$ 1.930,57 
06/02/2012;853;$ 1.784,77 ;$ 1.930,57 
07/02/2012;1170;$ 1.787,96 ;$ 1.927,10 
08/02/2012;1177;$ 1.783,34 ;$ 1.927,10 
