Fecha;Unidades
01/01/2012;0
02/01/2012;188
03/01/2012;482
04/01/2012;927
05/01/2012;1159
06/01/2012;996
07/01/2012;243
08/01/2012;0
09/01/2012;0
10/01/2012;697
11/01/2012;956
12/01/2012;1001
13/01/2012;1170
14/01/2012;372
15/01/2012;1
16/01/2012;805
17/01/2012;913
18/01/2012;1049
19/01/2012;979
20/01/2012;1018
21/01/2012;312
22/01/2012;0
23/01/2012;802
24/01/2012;893
25/01/2012;1030
26/01/2012;1108
27/01/2012;1049
28/01/2012;369
29/01/2012;2
30/01/2012;823
31/01/2012;1046
01/02/2012;1142
02/02/2012;1185
03/02/2012;1295
04/02/2012;344
05/02/2012;0
06/02/2012;853
07/02/2012;1170
08/02/2012;1177
09/02/2012;1182
10/02/2012;1191
11/02/2012;411
12/02/2012;1
13/02/2012;881
14/02/2012;1120
15/02/2012;1126
16/02/2012;1098
17/02/2012;1243
18/02/2012;309
19/02/2012;0
20/02/2012;733
21/02/2012;994
22/02/2012;1186
23/02/2012;1247
24/02/2012;1315
25/02/2012;386
26/02/2012;0
27/02/2012;855
28/02/2012;1239
29/02/2012;1157
01/03/2012;1201
02/03/2012;1342
03/03/2012;358
04/03/2012;0
05/03/2012;886
06/03/2012;1209
07/03/2012;1553
08/03/2012;1340
09/03/2012;1279
10/03/2012;489
11/03/2012;1
12/03/2012;971
13/03/2012;1305
14/03/2012;1366
15/03/2012;1357
16/03/2012;1461
17/03/2012;339
18/03/2012;0
19/03/2012;0
20/03/2012;937
21/03/2012;1247
22/03/2012;1332
23/03/2012;1479
24/03/2012;139
25/03/2012;32
26/03/2012;1113
27/03/2012;1163
28/03/2012;1469
29/03/2012;1559
30/03/2012;1805
31/03/2012;485
01/04/2012;1
02/04/2012;1128
03/04/2012;1589
04/04/2012;1182
05/04/2012;1
06/04/2012;0
07/04/2012;1
08/04/2012;0
09/04/2012;770
10/04/2012;1196
11/04/2012;1467
12/04/2012;1456
13/04/2012;1369
14/04/2012;422
15/04/2012;0
16/04/2012;795
17/04/2012;1067
18/04/2012;1360
19/04/2012;1083
20/04/2012;1443
21/04/2012;310
22/04/2012;0
23/04/2012;965
24/04/2012;1143
25/04/2012;1361
26/04/2012;1264
27/04/2012;737
28/04/2012;515
29/04/2012;34
30/04/2012;1286
01/05/2012;3
02/05/2012;965
03/05/2012;1228
04/05/2012;1349
05/05/2012;375
06/05/2012;0
07/05/2012;985
08/05/2012;1353
09/05/2012;1426
10/05/2012;1393
11/05/2012;1455
12/05/2012;230
13/05/2012;1
14/05/2012;1055
15/05/2012;1276
16/05/2012;1314
17/05/2012;1388
18/05/2012;1282
19/05/2012;437
20/05/2012;15
21/05/2012;0
22/05/2012;940
23/05/2012;1045
24/05/2012;1198
25/05/2012;1338
26/05/2012;436
27/05/2012;0
28/05/2012;894
29/05/2012;1146
30/05/2012;1283
31/05/2012;1256
01/06/2012;1222
02/06/2012;323
03/06/2012;1
04/06/2012;953
05/06/2012;1156
06/06/2012;1404
07/06/2012;1453
08/06/2012;1460
09/06/2012;471
10/06/2012;0
11/06/2012;0
12/06/2012;919
13/06/2012;1206
14/06/2012;1390
15/06/2012;1337
16/06/2012;348
17/06/2012;30
18/06/2012;0
19/06/2012;987
20/06/2012;1116
21/06/2012;1300
22/06/2012;1330
23/06/2012;352
24/06/2012;7
25/06/2012;541
26/06/2012;625
27/06/2012;1493
28/06/2012;1510
29/06/2012;1396
30/06/2012;361
01/07/2012;1
02/07/2012;2
03/07/2012;853
04/07/2012;1267
05/07/2012;1250
06/07/2012;1416
07/07/2012;619
08/07/2012;1
09/07/2012;978
10/07/2012;1246
11/07/2012;1271
12/07/2012;1242
13/07/2012;1510
14/07/2012;390
15/07/2012;0
16/07/2012;831
17/07/2012;1105
18/07/2012;1181
19/07/2012;1515
20/07/2012;23
21/07/2012;325
22/07/2012;0
23/07/2012;875
24/07/2012;1094
25/07/2012;1386
26/07/2012;1298
27/07/2012;1400
28/07/2012;389
29/07/2012;1
30/07/2012;1030
31/07/2012;1139
01/08/2012;1157
02/08/2012;1242
03/08/2012;1315
04/08/2012;439
05/08/2012;0
06/08/2012;959
07/08/2012;1
08/08/2012;1116
09/08/2012;1359
10/08/2012;1369
11/08/2012;370
12/08/2012;21
13/08/2012;980
14/08/2012;1141
15/08/2012;1195
16/08/2012;1320
17/08/2012;1235
18/08/2012;365
19/08/2012;0
20/08/2012;0
21/08/2012;809
22/08/2012;1036
23/08/2012;1223
24/08/2012;1113
25/08/2012;490
26/08/2012;62
27/08/2012;792
28/08/2012;1131
29/08/2012;1157
30/08/2012;1296
31/08/2012;1295
01/09/2012;280
02/09/2012;1
03/09/2012;829
04/09/2012;1008
05/09/2012;1035
06/09/2012;1368
07/09/2012;1281
08/09/2012;489
09/09/2012;30
10/09/2012;1095
11/09/2012;1204
12/09/2012;1347
13/09/2012;1439
14/09/2012;1293
15/09/2012;405
16/09/2012;0
17/09/2012;930
18/09/2012;933
19/09/2012;1320
20/09/2012;1353
21/09/2012;1231
22/09/2012;313
23/09/2012;41
24/09/2012;840
25/09/2012;1033
26/09/2012;1287
27/09/2012;1335
28/09/2012;1415
29/09/2012;422
30/09/2012;0
01/10/2012;813
02/10/2012;1110
03/10/2012;1280
04/10/2012;1352
05/10/2012;1360
06/10/2012;400
07/10/2012;10
08/10/2012;1195
09/10/2012;1209
10/10/2012;1299
11/10/2012;1324
12/10/2012;1275
13/10/2012;326
14/10/2012;18
15/10/2012;0
16/10/2012;752
17/10/2012;1022
18/10/2012;853
19/10/2012;1319
20/10/2012;391
21/10/2012;7
22/10/2012;866
23/10/2012;1057
24/10/2012;1159
25/10/2012;1180
26/10/2012;1203
27/10/2012;327
28/10/2012;1
29/10/2012;828
30/10/2012;1281
31/10/2012;1195
01/11/2012;1088
02/11/2012;1320
03/11/2012;289
04/11/2012;0
05/11/2012;0
06/11/2012;875
07/11/2012;1095
08/11/2012;1318
09/11/2012;1361
10/11/2012;336
11/11/2012;0
12/11/2012;0
13/11/2012;855
14/11/2012;1142
15/11/2012;1205
16/11/2012;1186
17/11/2012;311
18/11/2012;1
19/11/2012;845
20/11/2012;1084
21/11/2012;1056
22/11/2012;1135
23/11/2012;1232
24/11/2012;329
25/11/2012;1
26/11/2012;893
27/11/2012;1180
28/11/2012;1323
29/11/2012;1448
30/11/2012;1565
01/12/2012;422
02/12/2012;1
03/12/2012;1024
04/12/2012;1175
05/12/2012;1587
06/12/2012;1783
07/12/2012;1652
08/12/2012;0
09/12/2012;0
10/12/2012;1238
11/12/2012;1583
12/12/2012;1729
13/12/2012;1827
14/12/2012;1861
15/12/2012;515
16/12/2012;0
17/12/2012;1192
18/12/2012;1789
19/12/2012;1961
20/12/2012;2101
21/12/2012;2124
22/12/2012;904
23/12/2012;0
24/12/2012;535
25/12/2012;0
26/12/2012;1206
27/12/2012;1921
28/12/2012;2418
29/12/2012;1087
30/12/2012;0
31/12/2012;68
01/01/2013;0
02/01/2013;223
03/01/2013;402
04/01/2013;884
05/01/2013;215
06/01/2013;0
07/01/2013;0
08/01/2013;623
09/01/2013;1005
10/01/2013;957
11/01/2013;1069
12/01/2013;311
13/01/2013;1
14/01/2013;766
15/01/2013;1063
16/01/2013;1007
17/01/2013;1083
18/01/2013;951
19/01/2013;248
20/01/2013;0
21/01/2013;756
22/01/2013;816
23/01/2013;998
24/01/2013;852
25/01/2013;952
26/01/2013;285
27/01/2013;0
28/01/2013;809
29/01/2013;983
30/01/2013;1178
31/01/2013;1104
01/02/2013;1064
02/02/2013;224
03/02/2013;0
04/02/2013;740
05/02/2013;885
06/02/2013;1218
07/02/2013;1150
08/02/2013;1181
09/02/2013;291
10/02/2013;1
11/02/2013;830
12/02/2013;916
13/02/2013;1076
14/02/2013;1110
15/02/2013;1265
16/02/2013;263
17/02/2013;0
18/02/2013;719
19/02/2013;1036
20/02/2013;1096
21/02/2013;1064
22/02/2013;1094
23/02/2013;324
24/02/2013;0
25/02/2013;755
26/02/2013;1119
27/02/2013;1133
28/02/2013;1311
01/03/2013;963
02/03/2013;264
03/03/2013;0
04/03/2013;677
05/03/2013;930
06/03/2013;1073
07/03/2013;1136
08/03/2013;1207
09/03/2013;354
10/03/2013;1
11/03/2013;851
12/03/2013;1065
13/03/2013;1167
14/03/2013;1223
15/03/2013;1297
16/03/2013;385
17/03/2013;0
18/03/2013;830
19/03/2013;1249
20/03/2013;1341
21/03/2013;1459
22/03/2013;1630
23/03/2013;532
24/03/2013;0
25/03/2013;0
26/03/2013;953
27/03/2013;1104
28/03/2013;14
29/03/2013;0
30/03/2013;2
31/03/2013;0
01/04/2013;588
02/04/2013;995
03/04/2013;1165
04/04/2013;1262
05/04/2013;1350
06/04/2013;301
07/04/2013;34
08/04/2013;874
09/04/2013;1221
10/04/2013;1204
11/04/2013;1285
12/04/2013;1279
13/04/2013;394
14/04/2013;16
15/04/2013;781
16/04/2013;1174
17/04/2013;1153
18/04/2013;1203
19/04/2013;1155
20/04/2013;348
21/04/2013;1
22/04/2013;778
23/04/2013;1090
24/04/2013;1161
25/04/2013;1392
26/04/2013;1433
27/04/2013;411
28/04/2013;0
29/04/2013;1015
30/04/2013;1570
01/05/2013;19
02/05/2013;963
03/05/2013;1202
04/05/2013;355
05/05/2013;5
06/05/2013;343
07/05/2013;657
08/05/2013;1241
09/05/2013;1428
10/05/2013;1626
11/05/2013;271
12/05/2013;1
13/05/2013;0
14/05/2013;914
15/05/2013;1155
16/05/2013;1164
17/05/2013;1245
18/05/2013;336
19/05/2013;0
20/05/2013;765
21/05/2013;1087
22/05/2013;1010
23/05/2013;1251
24/05/2013;1117
25/05/2013;281
26/05/2013;4
27/05/2013;962
28/05/2013;1062
29/05/2013;1357
30/05/2013;1485
31/05/2013;1529
01/06/2013;300
02/06/2013;3
03/06/2013;0
04/06/2013;698
05/06/2013;1071
06/06/2013;1184
07/06/2013;1382
08/06/2013;352
09/06/2013;0
10/06/2013;0
11/06/2013;758
12/06/2013;1102
13/06/2013;1238
14/06/2013;1211
15/06/2013;408
16/06/2013;1
17/06/2013;933
18/06/2013;932
19/06/2013;1103
20/06/2013;1213
21/06/2013;1329
22/06/2013;337
23/06/2013;0
24/06/2013;788
25/06/2013;1308
26/06/2013;1345
27/06/2013;1510
28/06/2013;1656
29/06/2013;537
30/06/2013;20
01/07/2013;0
02/07/2013;689
03/07/2013;1045
04/07/2013;1101
05/07/2013;1185
06/07/2013;464
07/07/2013;0
08/07/2013;871
09/07/2013;1231
